representation,compartment,bootstrap_id,ari,nmi,nn_accuracy,silhouette
stack,all,0,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.05439180135726929
stack,all,1,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.036290571093559265
stack,all,2,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.049419816583395004
stack,all,3,0.26666666666666666,0.5239645650766063,0.0,0.028018521144986153
stack,all,4,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.04339667409658432
stack,all,5,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.047211043536663055
stack,all,6,0.26666666666666666,0.5239645650766062,0.3333333333333333,0.034003064036369324
stack,all,7,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.04628302529454231
stack,all,8,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03358123451471329
stack,all,9,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.04031970724463463
stack,all,10,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.045847855508327484
stack,all,11,0.26666666666666666,0.5239645650766063,0.3333333333333333,0.03449241816997528
stack,all,12,0.26666666666666666,0.5239645650766063,0.3333333333333333,0.03101346641778946
stack,all,13,0.26666666666666666,0.5239645650766063,0.3333333333333333,0.037243109196424484
stack,all,14,0.26666666666666666,0.5239645650766063,0.0,0.04515223577618599
stack,all,15,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.02982417494058609
stack,all,16,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.03514828160405159
stack,all,17,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.043873026967048645
stack,all,18,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.040358979254961014
stack,all,19,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.03222617879509926
stack,all,20,0.26666666666666666,0.5239645650766063,0.2222222222222222,0.032982345670461655
stack,all,21,0.07142857142857142,0.3930065516315367,0.4444444444444444,0.04666108265519142
stack,all,22,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03706347197294235
stack,all,23,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.03150259330868721
stack,all,24,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.03266645595431328
