,representation,compartment,ari_median,ari_mean,nmi_median,nmi_mean,nn_accuracy_median,nn_accuracy_mean,silhouette_median,silhouette_mean
0,pca,all,-0.11764705882352941,-0.117865275142315,0.2179136487255354,0.21754302614434473,0.1111111111111111,0.11555555555555555,0.0025711950147524476,0.002521090288155392
1,pca,epithelial,-0.07142857142857142,-0.09800424184010521,0.2503486204735853,0.21070998497122895,0.2222222222222222,0.20833333333333331,-0.07448554039001465,-0.07383570891339332
2,pca,immune,-0.13333333333333333,-0.12882727582348075,0.16904258874082662,0.18632253968532875,0.1111111111111111,0.13666666666666666,-0.029896816238760948,-0.02985399526078254
3,stack,all,0.07142857142857142,0.11776190476190475,0.3930065516315367,0.42421538835730666,0.2222222222222222,0.2361111111111111,0.03629307448863983,0.03654781946912408
4,stack,epithelial,-0.03225806451612903,-0.03670639708875003,0.29513539794968274,0.2758933759001833,0.2222222222222222,0.22833333333333333,-0.015846939757466316,-0.015866161893791288
5,stack,immune,0.07142857142857142,0.1026674347158218,0.3930065516315366,0.41200091133636435,0.1111111111111111,0.15611111111111112,0.05247090198099613,0.05326066884212196
