representation,ari_median,ari_mean,nmi_median,nmi_mean,nn_accuracy_median,nn_accuracy_mean,silhouette_median,silhouette_mean
pca,0.06493506493506493,0.06422306566672764,0.40490058363640974,0.40419065672393534,0.1111111111111111,0.085,0.049792686477303505,0.0500348021206446
stack,0.21739130434782608,0.23980602006688964,0.5096070168485125,0.5302808790289982,0.3333333333333333,0.32888888888888884,0.10273429751396179,0.10232467837631702
