compartment,n_cells,n_samples,ari,nmi,nn_accuracy,silhouette
all,2700,9,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.04054605960845947
epithelial,375,9,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.020410068333148956
immune,2138,9,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.058187179267406464
stromal,78,9,0.07692307692307693,0.35631003654375043,0.3333333333333333,-0.046035025268793106
endothelial,109,8,0.2,0.4925986063135096,0.375,-0.05295190587639809
