sample_id,histology_type,radiological_type,gender,organism,cohort,compartment,epithelial_score,immune_score,stromal_score,endothelial_score
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.3523150541133798,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.9640245628378908,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.4799430881512592,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0397120883850133,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6016238292211585,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,2.147968670198949,0.5275319677909162,0.5164127995312595,0.1449077578277508
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5746506675823612,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.6300946488016792,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.364657960616277,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.2000584830147716,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.9307126457453039,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.9050221786910935,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.28809436523124105,0.7191859045005968,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,endothelial,0.0,0.5327658044911688,0.0,1.2757405582638577
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,2.6807198202531666,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,stromal,0.0,0.3027433184268887,0.4180558259163732,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0064010332602682,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.3691653380996662,0.4913471545642608,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8134248495759463,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.273356459117717,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.085640919185916,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.5105894909140198,0.8744630775758295,0.2552947454570099,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.5484485709380447,0.0,0.19906558708884803
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.31667903649922546,0.7503282158435182,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.2651348118344955,0.2651348118344955,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1988054315411172,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0360417054042852,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6014327386438705,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,stromal,0.0,0.47315910250354964,2.0179462750944785,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.3422885134785556,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.08805024483871599,2.5387196346754446,0.0,0.08805024483871599
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.3114212480639338,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.19121235910737577,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.23159034569088371,1.3148515062876496,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0320891964922327,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.3853939620415072,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8197982970380657,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,endothelial,0.0,0.0,0.0,0.8548834201974082
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.7807790073803442,0.0,0.2129460785122686
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7880026607941947,0.3002257373278812,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.9723232911325228,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.4631480386232186,0.7685864563591417,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.9069197742743145,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.30845094227459297,0.30845094227459297,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.7101586697404098,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5394334172035146,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.4671472570823436,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,2.0096324999553286,0.7324591646351634,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.6938661961459842,0.5696948105298912,0.18711722099378317,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.2783134886036097,0.8521687452950623,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8379252928635179,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.4238768057335167,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1179597684938387,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6248719005922039,0.0,0.20513007918053544
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.5873783547062115,0.5873783547062115,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,2.4507767598699117,0.1905330402988801,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.4878724257134815,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.7033162189149427,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.373079891831312,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,3.497044334837807,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.9519942784301929,0.4996421230828726,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8335139568019478,0.0,0.7909635765829648
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.8057104363752674,0.7775507642687413,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.495393802804761,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.22802805332796713,0.9241989316470682,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.49340770080097796,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.9744334362708031,0.4965213307846664,0.484724206972869,0.10444531528171008
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.2009594079134096,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.003756971769889,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6516527418565021,0.27036691366675625,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.4817752698934593,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.007999187839708,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6893959319852143,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.84156705819285,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.9747668912084645,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.9589424134783942,2.3612470092114854,0.08583526612507383,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.05364555848257803,0.6667371650145025,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.28051245974957073,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.9971183521146962,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.9182737161567663,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8942940764520412,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5166470309540573,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.3467109455789206,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1870279953725558,0.16142592762009667,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,2.392998982475251,1.174029899241186,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7307067543454162,0.3653533771727081,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,2.389090869186181,0.5985196885404761,0.21518747063040916,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6106269038168037,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6057572943583216,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6505407244022726,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.47438814209441943,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.6066330264452883,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.356239175467144,0.5721481296891944,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.3840443107862925,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.4861616455662614,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5765508571197542,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0547870622637698,0.0,0.21685738048180858
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6660892617279199,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7133897670775793,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.6665741507957634,0.6454335745411857,0.4151789909917323,0.12534374238474205
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.9929515309129172,0.8797618579905186,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7980564212625743,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.9378326733726823,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0661557949409284,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.3872065369105163,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.8529151238292783,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6336155152085872,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0239043164719086,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.39268541456926026,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.4604628127929988,0.5639620205435577,0.40656280624900126,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0831603522042492,0.2669766367815462,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.5038828465713674,0.546027439743354,1.0288100520821755,0.07403230280883277
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,2.473013346345906,0.2086126883669878,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.2637973351421468,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.48214413185998606,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.2045348763811299,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.530155493378499,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7408567886420551,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.8196447879095914,0.0,0.0
